ID,Tweet,Label1,Label2,Label3
1.3291E+18,@nbc4i Please everyone research Pfizer’s history of corrupt business practices before you make a decision to put something in your body from this organization. https://t.co/EyhIFqSCRJ They are currently under investigation for even more FCPA violations. https://t.co/FeKkQBCrdv,pharma,,
1.34002E+18,EVEN WITH A VACCINE IT IS STILL NOT ENOUGH. THEY ARE HELL BENT ON THE DESTRUCTION OF HUMANITY: Covid: Boris Johnson 'hoping to avoid' national lockdown - BBC News https://t.co/jJVodXkjvR,political,conspiracy,
1.32913E+18,@ianbrown @DarrenPlymouth It’s the unknown long term effects of the mRNA vaccine that concerns me. Also effect on immune response/disorders. Be very little long term is known about mRNA techniques. I’d rather have the traditional type Russian one.,side-effect,,
1.28567E+18,@FACT_Exeter @K3T3R @respect65 Back to my original point. This vaccine was rushed more than others done previously. 1 in 16000. Now imagine that if the same happened to the millions they intend to give the covid vaccine to. I'd rather be told it will take 5 years and be safe.,rushed,,
1.28481E+18,"@DrJasonJohnson IMHO optimistic talk about a vaccine is hooey. There’s never been a vaccine for a corona virus and if the antibodies of patients don’t provide much protection, how could a vaccine?",ineffective,,
1.2582E+18,"Millions of Americans will refuse to get a coronavirus vaccine when it becomes available, polls find. 🙂 #COVID19 #Scamdemic #Plandemic #Event201 @NIH @CDCgov @moderna_tx @gatesfoundation https://t.co/IUOXN8V62X",none,,
1.35574E+18,I guess my body my choice is a very specific mantra for the left Realize this request is for kids learning *remotely* I'm not anti vaxx but it should always be a choice If you're vaccinated what is the issue that others don't get vaccinated? https://t.co/9eoi0o0zNW,mandatory,,
1.36451E+18,"Discuss. If you are <40, healthy & fit, with no conditions or situations that may put you at extra risk, you do not NEED a vaccine for #covid19. 0% risk from infection. High asymptomatic %. Once/If you've had covid, you have immunity. 'Vaccinate' x2 , very old /very fat /very ill",unnecessary,,
1.41598E+18,"@BorisJohnson @CMO_England @uksciencechief @SirGrahamBrady The vaccination programme should be HALTED says yet another Doctor and you choose to ignore it, you are killing people and causing horrible side effects for many WTF is wrong with you? INSANE🤬 https://t.co/Ip7wMXnkNX",side-effect,,
1.30129E+18,"C.D.C. Tells States How to Prepare for Covid-19 Vaccine by Early November https://t.co/AzSlWnHPbv (I guess I won't see 2021, cause I'm NOT taking this fucking vaccine. Believe that. Fuck these evil sons of bitches! >:-(",none,,
1.32801E+18,@ryanstruyk @jaketapper It makes since. If we vaccinate tens of thousands of people early and then the rest 2-4 months later and the first group does not wear masks how will we know who was vaccinated and who was not while we are out grocery shopping etc. Plus vaccine will not prevent COVID in all.,ineffective,,
1.2537E+18,@francispouliot_ Make sure you get chipped and vaccinated first,conspiracy,ingredients,
1.28794E+18,@FCLittle1 @GaryTheNYer @chijiblaze @bennyjohnson @KristianRDyer That is all about money and they can't make much money from hydroxychloroquine but they can make billions from pushing a vaccine it's just common sense maybe you don't have it,pharma,,
1.33069E+18,"@republic That would be nice. As vaccines for COVID are not 100% protective, and the message from Universe is clear, all COVID Vaccine is far dangerous to the body than COVID itself. So feel free to steal... 🙂👍🙏Spiritual Psychologist",ineffective,,
1.33583E+18,@AlwinVerbeek I agree 100%. There r currently 2yr clinical trials being conducted that test medium/longer term side effects & also disease enhancement This is one such trial-Astra Zeneca: https://t.co/B1kRh1VWWN This doc is an eye opener regarding disease enhancement: https://t.co/vf9h0HBz6u,side-effect,,
1.29329E+18,This is why vaccines take years to develop safely. If you do it wrong you make the disease stronger. #RussianVaccine #coronavirus Russian Virologist Questions Safety of Country’s Coronavirus Vaccine - The Moscow Times https://t.co/M8b7fAso8R,side-effect,rushed ,
1.44023E+18,"@KodyKinsley With waning vaccine immunity, natural immunity is king. Why are governments forcing recovered folks to take the vaccine? The Pfizer mRNA protects against severe disease and death for at least 6 mos., while protection against asymptomatic & symptomatic infections wanes rapidly.",mandatory,,
1.32673E+18,"@jaketapper Immensely irresponsible of you, Jake, to feed the idea that the Pfizer vaccine is going to actually be ready large scale any time soon.",rushed,,
