Tweet,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"@sandraburgess3 They have no idea, they cant control the Flu with vaccine so what makes them think they can control covid 19 because all flu seems to have a variant of covid in it as do most infectious diseases including Ebola!!!!",0,0,0,0,0,0,0,0,0,1,0,0
@stepheniscowboy Nvm I’ve had covid I’ve got enough antibodies to see me through you can keep your judgey vaccine,1,0,0,0,0,0,0,0,0,0,0,0
Coronavirus updates: Government partners with Moderna to make 100M vaccine doses https://t.co/wDhlhvVqA0 Why are we paying Billions of Dollars to Modrna for thes vaccines when we don't even know if they will work. Isn't this putting the cart before the horse??? Sounds fishy.,0,0,1,0,0,0,0,0,0,0,0,0
@OANN U.K. Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97% of the animals tested. https://t.co/2AniAedBSy,0,0,0,0,0,0,1,0,0,0,0,0
"3/ horse"" AstraZeneca, not so much for the reduced effectiveness of the vaccine, if compared to others (this is an incontrovertible fact, the numbers never lie), but how much and above all for the dishonest behavior of the company in the distribution of the vaccine: contracts are",0,0,1,0,0,0,0,0,0,1,0,0
"After a video of his mother’s condition went viral, the son of a woman who was hospitalized after receiving Pfizer’s Covid jab told RT that, even though he was not an anti-vaxxer, he had serious doubts about the drug’s safety.",0,0,0,0,0,0,0,0,1,0,0,0
"@yvanmamalof @Mij_Europe One dose of the least efficacious vaccine to the most vulnerable in most cases. The rush to be first and drape everything in the flag may well have led to poor and risky decision making. Johnson's risk appetite is huge, as a narcissist he doesn't care about the outcome, or people",0,0,0,0,0,0,1,0,0,1,0,0
Please read through @NoClutchTruth’s thread on the COVID vaccine being pushed to front line workers in Arkansas. I’m not disagreeing with the vaccine - but against mandatory vaccination.,0,1,0,0,0,0,0,0,0,0,0,0
@patrickklepek I wouldnt take it if the vaccine is russian. I cant trust those homophobics and their history of failures in every single thing they attempt.,0,0,0,0,0,1,0,0,0,0,0,0
"We're told that we have to be overly cautious, in case the vaccine does not offer enough protection or in case of (highly unlikely) vaccine evading variants etc. However, if the vaccine isn't the way out of this, what is plan B @BorisJohnson? Lockdown forever?",0,0,0,0,0,0,0,0,0,1,0,0
"Sen. Johnson: Democrat media suppress information about more than 5,000 vaccine deaths - https://t.co/J1PlMAAplI",0,0,0,0,0,0,0,0,1,0,0,0
"@andy_b1969 @Nigel_Farage About the disputed efficacy of the AZ vaccine, see here https://t.co/lN8sYFtlVa About the derivation of these vaccines from aborted baby parts, see this video interview (and transcrip) with a virus & vaccine expert: https://t.co/4BVSCVThm3",0,0,0,0,0,0,0,1,0,0,0,0
"@Asher_Wolf Meanwhile the clots say ""The final details of that will be released within the coming week"" For 2 months I have believed we should have a no-fault compensation for properly diagnosed AstraZeneca vaccine induced clots.",0,0,0,0,0,0,0,0,1,0,0,0
"@NicoleThibault8 @oc52130 @US_FDA @pfizer ‘People’ ,not kids! Surely you protect your kids from things that might harm them? No data to suggest Covid does. The vaccine isn’t even approved for them yet & potential long term side effects are not known Kids are not getting sick or dying from Covid!",0,0,0,0,0,0,1,0,0,0,0,0
@TheEliKlein @zeynepyenisey You assume no long term effects from this experimental vaccine.  And if the risk of covid is about the same as the flu for young people (or less) why is it so urgent for young people to get this shot but it wasn't urgent for the flu?  Vulnerable people have the vax and are safe.,1,0,0,0,0,0,1,0,1,0,0,0
@4mishee @ScottMorrisonMP can keep his vaccine 💉 I’ll take covid with its “ non existent “ symptoms over some big pharma no liability or indemnity lab 🧪 cooked vaccine thank you.,1,0,1,0,0,0,0,0,0,0,0,0
"And taxpayers just gave $1.6 billion to Novavax, a company that has brought nothing to market, the LARGEST covid vaccine contract. And best believe they will still charge for it.",0,0,1,0,0,0,0,0,0,0,0,0
"@NateSilver538 Good grief. Between the flawed trials we heard about earlier, and now this, AstraZeneca is putting on a masterclass in What Not To Do. They probably have a decent vaccine, but who can trust it when they keep getting sloppy and/or messing with the data?",0,0,0,0,0,0,1,0,0,0,0,0
"@DidlerBette Dr. Mikovits warned Months ago that HIV had been added to the CV vaccs. Now, after taking the Pfizer CV Vacc, volunteers are having,"" False Positive HIV"",test results..Uh huh...sure they are False +...She warned us!!",0,0,0,0,0,0,0,1,1,0,0,0
"The FDA is investigating allergic reactions to the Pfizer vaccine reported in multiple states. I have two daughters who are RN’s, and both of them told me they do not intend to take it. #NorDoI! https://t.co/oZAEzRhZsj",0,0,0,0,0,0,0,0,1,0,0,0
"J&J vax not much better (66%) than the Astra-Zeneca for preventing any COVID infection including moderate, and maybe inferior in terms of preventing severe illness (85%). https://t.co/8tJOnPp3Jt",0,0,0,0,0,0,0,0,0,1,0,0
